Year,easing,maintaining,increase,CO2_concentrations
2028,387.5254111213298,420.3529486362751,453.46070939413437,
2029,387.4994555273571,422.15917674860793,457.1322432952886,
2030,387.47261833820914,423.9654048609417,460.80652469575057,
2031,387.4449004419712,425.7716329732747,464.48355542513565,
2032,387.41630272605926,427.5778610856077,468.16333731420417,
2033,387.386826077222,429.3840891979409,471.845872194857,
2034,387.3564713815425,431.19031731027377,475.53116190014015,
2035,387.32523952443603,432.99654542260674,479.2192082642443,
2036,387.2931313906532,434.80277353493983,482.9100131225071,
2037,387.2601478642785,436.6090016472728,486.6035783114097,
2038,387.2262898287314,438.4152297596057,490.2999056685832,
2039,387.1915581667672,440.22145787193887,493.99899703280266,
2040,387.15595376047685,442.02768598427184,497.7008542439936,
2041,387.11947749128717,443.8339140966048,501.4054791432311,
2042,387.08213023996245,445.6401422089377,505.1128735727391,
2043,387.04391288660463,447.4463703212708,508.82303937589035,
2044,387.00482631065086,449.2525984336037,512.5359783972111,
2045,386.96487139088,451.0588265459369,516.251692482378,
2046,386.9240490054059,452.8650546582698,519.9701834782187,
2047,386.8823600316835,454.6712827706028,523.6914532327164,
2048,386.8398053465065,456.4775108829359,527.4155035950073,
2049,386.79638582600944,458.283738995269,531.1423364153818,
2050,386.75210234566526,460.089967107602,534.871953545284,
2051,386.7069557802896,461.8961952199351,538.6043568373168,
2052,386.66094700403687,463.7024233322682,542.3395481452374,
2053,386.61407689040635,465.5086514446009,546.0775293239602,
2054,386.5663463122369,467.3148795569341,549.8183022295593,
2055,386.51775614171066,469.12110766926696,553.5618687192659,
2056,386.4683072503526,470.9273357815999,557.3082306514711,
2057,386.41800050903123,472.73356389393285,561.0573898857257,
2058,386.3668367879589,474.539792006266,564.8093482827403,
2059,386.31481695669083,476.3460201185991,568.5641077043892,
2060,386.2619418841297,478.15224823093206,572.3216700137066,
2061,386.20821243852083,479.95847634326515,576.0820370748909,
2062,386.1536294874566,481.764704455598,579.8452107533026,
2063,386.0981938978745,483.5709325679312,583.6111929154682,
2064,386.0419065360585,485.37716068026407,587.3799854290769,
2065,385.98476826764016,487.1833887925972,591.1515901629857,
2066,385.9267799575981,488.98961690493024,594.9260089872159,
2067,385.8679424702584,490.7958450172638,598.7032437729572,
2068,385.80825666929513,492.60207312959676,602.4832963925669,
2069,385.74772341773115,494.4083012419298,606.266168719568,
2070,385.6863435779392,496.2145293542628,610.0518626286572,
2071,385.6241180116402,498.0207574665959,613.8403799956974,
2072,385.56104757990545,499.8269855789289,617.6317226977237,
2073,385.4971331431568,501.6332136912618,621.425892612941,
2074,385.4323755611677,503.43944180359483,625.2228916207263,
2075,385.3667756930615,505.245669915928,629.0227216016302,
2076,385.3003343973142,507.0518980282609,632.8253844373771,
2077,385.2330525317519,508.85812614059404,636.6308820108633,
2078,385.1649309535565,510.66435425292707,640.4392162061613,
2079,385.0959705192597,512.4705823652598,644.2503889085185,
2080,385.02617208474913,514.276810477593,648.0644020043579,
2081,384.95553650526426,516.083038589926,651.8812573812802,
2082,384.8840646354014,517.889266702259,655.7009569280626,
2083,384.8117573291072,519.6954948145919,659.5235025346626,
2084,384.73861543968826,521.5017229269249,663.3488960922133,
2085,384.6646398198028,523.3079510392579,667.1771394930305,
2086,384.5898313214676,525.1141791515911,671.0082346306087,
2087,384.514190796055,526.9204072639241,674.8421833996248,
2088,384.4377190942944,528.726635376257,678.6789876959338,
2089,384.3604170662728,530.53286348859,682.518649416578,
2090,384.2822855614328,532.3390916009232,686.3611704597804,
2091,384.20332542857733,534.1453197132562,690.2065527249479,
2092,384.123537515868,535.9515478255893,694.0547981126718,
2093,384.0429226708242,537.7577759379221,697.9059085247293,
2094,383.96148174032515,539.5640040502552,701.7598858640839,
2095,383.8792155706102,541.3702321625881,705.6167320348842,
2096,383.7961250072794,543.176460274921,709.4764489424687,
2097,383.71221089529183,544.982688387254,713.3390384933616,
2098,383.6274740789688,546.7889164995871,717.2045025952783,
2099,383.5419154019938,548.5951446119201,721.0728431571208,
2100,383.45553570741134,550.4013727242532,724.9440620889833,
2101,383.3683358376289,552.2076008365862,728.8181613021519,
2102,383.280316634417,554.0138289489191,732.6951427091028,
2103,383.1914789389082,555.820057061253,736.5750082235037,
2104,383.10182359159967,557.626285173586,740.4577597602174,
2105,383.0113514323524,559.4325132859191,744.3433992353007,
2106,382.9200633003932,561.238741398252,748.2319285660028,
2107,382.8279600343125,563.0449695105851,752.1233496707706,
2108,382.73504247206637,564.8511976229179,756.0176644692447,
2109,382.6413114509757,566.6574257352509,759.9148748822643,
2110,382.5467678077307,568.4636538475837,763.8149828318648,
2111,382.45141237838516,570.2698819599168,767.7179902412805,
2112,382.35524599836083,572.07611007225,771.6238990349437,
2113,382.25826950244783,573.8823381845831,775.5327111384876,
2114,382.16048372480367,575.688566296916,779.4444284787442,
2115,382.06188949895414,577.4947944092493,783.3590529837472,
2116,381.9624876577929,579.301022521582,787.276586582733,
2117,381.86227903358565,581.107250633915,791.1970312061391,
2118,381.76126445796416,582.9134787462483,795.1203887856053,
2119,381.6594447619338,584.719706858581,799.0466612539778,
2120,381.55682077586647,586.5259349709142,802.9758505453052,
2121,381.4533933295092,588.3321630832472,806.9079585948433,
2122,381.34916325197685,590.13839119558,810.8429873390521,
2123,381.2441313717582,591.9446193079133,814.7809387156001,
2124,381.13829851671204,593.7508474202461,818.7218146633612,
2125,381.03166551407287,595.5570755325791,822.6656171224208,
2126,380.9242331904466,597.3633036449121,826.6123480340698,
2127,380.81600237181124,599.1695317572453,830.5620093408095,
2128,380.7069738835202,600.9757598695783,834.5146029863536,
2129,380.59714855030114,602.7819879819112,838.4701309156253,
2130,380.486527196256,604.5882160942442,842.4285950747596,
2131,380.3751106448625,606.3944442065772,846.3899974111048,
2132,380.2628997189728,608.2006723189102,850.3543398732214,
2133,380.149895240815,610.0069004312434,854.3216244108853,
2134,380.03609803199447,611.8131285435762,858.2918529750862,
2135,379.92150891349365,613.6193566559093,862.2650275180285,
2136,379.80612870567137,615.4255847682423,866.2411499931351,
2137,379.6899582282633,617.2318128805753,870.2202223550441,
2138,379.57299830038505,619.0380409929082,874.2022465596123,
2139,379.45524974052915,620.8442691052412,878.1872245639132,
2140,379.33671336656784,622.650497217575,882.1751583262405,
2141,379.2173899957528,624.4567253299082,886.166049806109,
2142,379.09728044471336,626.2629534422409,890.159900964252,
2143,378.9763855294618,628.069181554574,894.1567137626251,
2144,378.8547060653896,629.8754096669072,898.1564901644052,
2145,378.7322428672698,631.6816377792401,902.1592321339923,
2146,378.60899674925537,633.4878658915733,906.1649416370116,
2147,378.48496852488296,635.2940940039061,910.1736206403093,
2148,378.3601590070698,637.100322116239,914.1852711119594,
2149,378.234569008116,638.9065502285722,918.1998950212596,
2150,378.10819933970606,640.7127783409052,922.217494338736,
2151,377.98105081290635,642.519006453238,926.2380710361406,
2152,377.85312423816805,644.3252345655711,930.2616270864528,
2153,377.7244204253258,646.1314626779043,934.288164463882,
2154,377.5949401835995,647.9376907902371,938.317685143866,
2155,377.46468432159406,649.7439189025703,942.3501911030736,
2156,377.3336536473002,651.5501470149032,946.3856843194028,
2157,377.20184896809286,653.3563751272362,950.4241667719842,
2158,377.069271090736,655.1626032395692,954.465640441183,
2159,376.9359208213789,656.9688313519023,958.5101073085924,
2160,376.8017989655565,658.7750594642353,962.5575693570433,
2161,376.66690632819456,660.5812875765682,966.6080285706,
2162,376.5312437136042,662.3875156889012,970.6614869345616,
2163,376.39481192548624,664.1937438012343,974.7179464354653,
2164,376.2576117669297,665.9999719135673,978.7774090610823,
2165,376.1196440404133,667.8062000259004,982.8398768004222,
2166,375.98090954780366,669.6124281382332,986.9053516437332,
2167,375.8414090903605,671.4186562505664,990.9738355825025,
2168,375.7011434687313,673.2248843628993,995.0453306094572,
2169,375.56011348295607,675.0311124752324,999.1198387185636,
2170,375.4183199324646,676.8373405875652,1003.1973619050308,
2171,375.2757636160797,678.6435686998984,1007.2779021653096,
2172,375.13244533201515,680.4497968122314,1011.3614614970917,
2173,374.98836587787866,682.2560249245645,1015.4480418993147,
2174,374.8435260506688,684.0622530368977,1019.5376453721589,
2175,374.6979266467784,685.8684811492303,1023.6302739170494,
2176,374.55156846199486,687.674709261564,1027.7259295366582,
2177,374.4044522914992,689.480937373897,1031.8246142349008,
2178,374.2565789298657,691.28716548623,1035.9263300169448,
2179,374.10794917106506,693.0933935985631,1040.0310788892011,
2180,373.9585638084622,694.8996217108961,1044.1388628593318,
2181,373.8084236348194,696.7058498232292,1048.2496839362457,
2182,373.65752944229376,698.5120779355623,1052.3635441301058,
2183,373.50588202243864,700.3183060478952,1056.4804454523232,
2184,373.3534821662045,702.1245341602282,1060.6003899155612,
2185,373.2003306639415,703.9307622725612,1064.723379533735,
2186,373.04642830539336,705.7369903848943,1068.8494163220134,
2187,372.89177587970596,707.5432184972274,1072.9785022968204,
2188,372.73637417542125,709.3494466095602,1077.1106394758322,
2189,372.5802239804812,711.1556747218933,1081.245829877981,
2190,372.4233260822264,712.9619028342261,1085.3840755234567,
2191,372.26568126739835,714.7681309465593,1089.5253784337035,
2192,372.10729032213766,716.5743590588922,1093.6697406314272,
2193,371.9481540319863,718.3805871712253,1097.8171641405877,
2194,371.7882731818866,720.1868152835582,1101.9676509864062,
2195,371.6276485561831,721.9930433958914,1106.1212031953637,
2196,371.4662809386203,723.7992715082244,1110.2778227952022,
2197,371.3041711123481,725.6054996205576,1114.4375118149233,
2198,371.141319859916,727.4117277328903,1118.6002722847934,
2199,370.97772796327723,729.2179558452235,1122.7661062363386,
2200,370.813396203789,731.0241839575566,1126.9350157023516,
2201,370.6483253622133,732.8304120698892,1131.1070027168894,
