Year,EMXP,PRCP,TMAX,TMIN,SNOW
1932,65.26555441882452,787.6194399319252,16.878283518360373,4.174548504333241,931.3835125448027
1933,69.63860992039233,834.2332548244939,17.258815973191844,4.262151556156962,1052.371150097466
1934,67.9537981347774,820.5994997760208,17.854760857614085,4.722949892241392,739.305187429004
1935,62.65714071294593,765.8874488505362,16.4582235583492,4.031871657754003,940.8782051282053
1936,64.24956807310653,795.0931652383297,16.547808617499324,3.6010320744956004,1090.6131671211529
1937,66.7281587943909,792.3639430388472,16.047996886351854,3.736510755377688,1006.4910990712076
1938,64.20442796898418,769.8649197356012,16.92762478485368,4.379228736184543,867.7045712126936
1939,67.1023760399333,810.7547472094569,16.993667601683015,3.92173670768516,855.1932526585992
1940,65.11806510774912,778.1332488793556,16.087143184421524,3.5734248751702227,965.8363702623908
1941,67.61970471686087,786.6802463676557,16.65304397357029,4.318124296329662,764.238078291815
1942,70.36986447484057,870.5103126748314,16.510496674057613,3.8637938644890695,950.240857946554
1943,64.82983462500833,791.6849996975716,16.727419354838688,3.7008636859323945,876.252056597565
1944,63.48775948461032,777.6687356186252,16.72421119057632,4.077535255735643,916.0014488554042
1945,66.78438734013123,836.9334341554237,16.703566771819098,4.0125684860967965,961.1027259684363
1946,69.46581839213452,833.3626504642909,17.19167973586462,4.276423092450564,847.1332013574661
1947,66.11991711071691,858.9534035703798,16.454607605178012,4.016422036595061,987.8315931289997
1948,64.52908884473516,820.8862294532067,16.621063361982756,4.091043977812995,990.2037317196167
1949,65.56021112667652,833.3849081493083,17.02021883753508,4.466135012242038,778.3798012753967
1950,68.04369098292536,916.4206796162846,16.480639719392027,4.081283075386908,843.2298437283915
1951,63.63449558344989,822.8347952419934,16.7146757164404,4.491385632702123,959.0948905109487
1952,63.60608123038893,824.518764609119,17.213097949886112,4.858307142857148,768.8207124010554
1953,65.37478494860919,820.9658084091952,17.868867562380075,5.48040715268226,618.1671254423909
1954,68.63097926415739,847.8172172888393,17.437175389532552,5.208150033489628,694.9539732994278
1955,71.80138164865515,896.0254466882818,17.09613371339725,4.8492177754677765,851.523247140726
1956,68.3647475941256,914.4199464690117,17.105969465648826,4.741558059147359,835.4555026322388
1957,63.762055123324544,865.5149515984662,17.335367203838047,5.492661587613648,685.6375864719447
1958,65.8746383083974,896.0485785818082,17.183344848123788,5.392683043738757,818.6385220754968
1959,66.8326299475452,871.4764253658568,17.4147019400353,5.25351828057468,781.6397538925162
1960,63.822816232832594,847.258460542844,16.944310227272712,4.970285617137026,944.7571373703752
1961,65.44087651495427,882.6715697117183,17.589685747539995,5.529537761793983,805.4485021044812
1962,62.390119070120136,829.4122297097175,17.517298573334696,5.320415898381462,796.2308462694042
1963,64.37255678035172,814.2954864738338,17.717457140025772,5.350401268205679,741.0288677830542
1964,65.9104809604477,857.7492801612442,17.50932490291739,5.260812207972942,916.2165364255104
1965,60.8406505832059,793.9158068759477,17.390896167515155,5.304745438914877,898.7652610934053
1966,63.084192329625814,819.9574433713775,17.40466255374835,5.231206976961122,922.129782711384
1967,65.72045668467797,859.6906324704629,17.68890760169326,5.493018695014673,978.1884498480244
1968,64.203137186629,835.0965997541998,17.32472983185342,5.260475876366397,892.4232064878353
1969,65.0593413464875,837.6882649584262,16.97870260047274,5.062017975402081,985.9172297297296
1970,64.0855896541101,844.7610298792072,17.445478449444273,5.260175786532053,972.2203785644052
1971,61.25652814618312,834.0938623727308,17.64898474866893,5.370507987793932,1210.8596967081744
1972,60.94776414425827,835.4417369492465,17.51661604219717,5.478850335205643,1106.3613434727504
1973,64.83684190677296,931.1375037103037,17.81537099494095,5.988048140863526,911.4044647809205
1974,67.39270070236334,943.9692304884272,17.731051961051993,5.6379666575567065,898.0850413749205
1975,62.07870461236431,882.1575234085818,17.62435786043993,5.569337694194601,1156.5159615883724
1976,61.67371549079701,846.0267639992627,17.63204752367087,5.185452960073411,914.8770928462708
1977,62.181008683515685,844.2940897373703,18.0754345663381,5.921752718632869,988.6912590216521
1978,62.71687548638109,870.6497739416337,17.381087232499034,5.457383752986566,1130.84190286284
1979,61.21059302504125,851.0082673832197,17.517603905160428,5.493456117271163,980.7462601510186
1980,60.89224703825925,819.2557146605571,17.78526150143487,5.642805566002247,920.8379156470419
1981,62.506632963356076,886.5492086068595,18.142523254763784,6.112058608727416,706.5325578285867
1982,59.520938882580325,818.4310064078398,18.005850994304897,5.678281542493463,1080.0061868115286
1983,62.29487041658586,947.7684440366867,18.03785356068201,6.015545354388574,990.1825873362444
1984,58.99376779626958,869.3254099616812,17.61532821425236,5.596159255036089,929.759125104486
1985,58.57672672056389,843.5643147308267,17.075021334367747,4.955308763956139,1157.7890082122549
1986,58.87334831086622,852.6451719603111,17.59547619047621,5.602046701925946,817.923186142269
1987,59.34308463204268,834.2205798864568,17.559569530046126,5.469144432411145,883.1816140350877
1988,61.71236556798864,871.2186118038222,17.501725942436238,5.246186499652064,900.2453661501064
1989,61.824929190626975,881.7184460844594,17.131021918861865,5.01683097895882,885.0010390959865
1990,62.8414096725211,890.3948866697036,17.473271361140537,5.5277090032154295,860.9292649098476
1991,61.842596810933436,863.5077927530738,17.401013859175972,5.521912237932712,804.0256061355765
1992,60.62274276366541,901.3305490502223,17.1311023845572,5.480138556618818,770.2778883141
1993,61.304859135541705,883.9259495060303,17.154893383818333,5.323951822240661,926.9011457500667
1994,59.10500911576972,822.0332309177866,17.662242230612787,5.410983263598318,908.8106382978723
1995,64.59368184733687,910.9289952828084,17.519609191072515,5.391615729024737,883.500208710171
1996,65.46161863038891,924.6295098782476,16.983974728235662,4.7779630869274285,991.031399317406
1997,63.45149239360558,876.3204092971595,17.321498380379538,5.2028813720819285,851.1055734190783
1998,64.59605594693264,912.6379645145399,17.711537889353824,5.830514712930113,606.7906826687315
1999,61.29553782810016,847.3923347015468,17.736861481822398,5.245570162903713,709.8111269985701
2000,59.42790463576105,824.0093896953612,17.496788974078104,5.216431965032308,838.3947918117253
2001,57.69462839123536,780.8164104976988,17.631238810019003,5.3780283541451634,692.9070857457955
2002,56.34378868498191,734.6261679292944,17.595218370103648,5.255328830096618,708.1043140518796
2003,58.18032705921085,789.2395398805157,17.577192442882204,5.2612798304616275,812.7450187698528
2004,61.68601568540766,849.9209242416297,17.341156426079937,5.2983282051282,716.290093998554
2005,61.09958548634386,784.77731361075,17.770339492529487,5.502414777962018,780.418636571603
2006,56.905532388100994,784.7143352909766,17.944834239607033,5.599376947040501,633.3051109238978
2007,62.3014905990625,829.4702449646225,17.864903351658132,5.55220578597509,795.6678091973723
2008,64.82158160403819,874.3793842034818,17.258611312545348,4.985902029924698,877.7316197587593
2009,61.344700840612795,877.0740875527409,17.255281346920682,5.0693796433878,785.343372523756
2010,68.26844937403867,918.1351349928945,17.102941381716505,5.077308042212522,757.1360364330836
