Entity,Year,Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from wind (TWh)
Africa,2007,95.34,3.15,0.05,1.02
Africa,2008,97.16,3.27,0.08,1.31
Africa,2009,99.76,3.56,0.1,1.59
Africa,2010,107.43,3.83,0.21,2.28
Africa,2011,110.44,3.93,0.45,2.54
Africa,2012,110.95,4.09,0.55,2.96
Africa,2013,117.67,4.44,0.82,3.56
Africa,2014,123.73,5.55,1.83,5.16
Africa,2015,119.86,7.14,3.6,8.89
Africa,2016,115.8,7.21,4.94,11.31
Africa,2017,123.82,7.57,6.98,12.46
Africa,2018,130.39,8.06,9.85,14.29
Africa,2019,132.73,8.18,19.38,17.51
Europe,1965,302.2,3.01,0.0,0.0
Europe,1966,324.57,4.1,0.0,0.0
Europe,1967,324.46,4.49,0.0,0.0
Europe,1968,336.24,5.0,0.0,0.0
Europe,1969,330.98,5.42,0.0,0.0
Europe,1970,346.08,7.12,0.0,0.0
Europe,1971,349.56,7.23,0.0,0.0
Europe,1972,363.83,7.12,0.0,0.0
Europe,1973,369.31,7.66,0.0,0.0
Europe,1974,399.29,8.04,0.0,0.0
Europe,1975,407.51,8.52,0.0,0.0
Europe,1976,376.83,8.49,0.0,0.0
Europe,1977,456.27,8.88,0.0,0.0
Europe,1978,455.53,9.37,0.0,0.0
Europe,1979,479.15,9.76,0.0,0.01
Europe,1980,464.77,10.74,0.0,0.01
Europe,1981,470.44,10.75,0.0,0.01
Europe,1982,466.31,9.84,0.0,0.02
Europe,1983,480.13,10.14,0.0,0.03
Europe,1984,485.19,10.51,0.0,0.04
Europe,1985,502.99,10.96,0.0,0.06
Europe,1986,486.09,13.02,0.0,0.13
Europe,1987,529.51,12.88,0.0,0.19
Europe,1988,567.47,13.68,0.0,0.33
Europe,1989,493.81,13.54,0.01,0.52
Europe,1990,502.46,18.95,0.01,0.78
Europe,1991,513.09,19.55,0.02,0.98
Europe,1992,529.66,20.71,0.03,1.54
Europe,1993,550.47,22.88,0.03,2.28
Europe,1994,557.2,24.02,0.04,2.98
Europe,1995,564.89,26.5,0.05,3.86
Europe,1996,548.09,26.68,0.05,4.83
Europe,1997,567.68,31.66,0.06,7.3
Europe,1998,593.9,36.12,0.09,11.18
Europe,1999,598.18,38.1,0.09,14.24
Europe,2000,617.66,42.33,0.13,22.45
Europe,2001,612.04,44.95,0.17,26.93
Europe,2002,563.94,50.66,0.28,36.43
Europe,2003,529.57,57.98,0.47,44.53
Europe,2004,570.15,68.8,0.75,59.3
Europe,2005,571.73,78.67,1.49,71.1
Europe,2006,561.91,89.28,2.52,83.16
Europe,2007,563.96,99.47,3.82,105.71
Europe,2008,593.03,110.04,7.5,121.35
Europe,2009,589.74,120.75,14.19,135.38
Europe,2010,649.8,136.89,23.26,153.44
Europe,2011,569.65,146.17,46.71,186.66
Europe,2012,625.81,161.99,71.87,214.84
Europe,2013,661.64,171.74,86.94,248.09
Europe,2014,644.06,183.52,98.84,264.81
Europe,2015,635.9,196.66,109.88,318.81
Europe,2016,651.43,201.56,113.95,322.92
Europe,2017,584.78,208.27,124.47,383.93
Europe,2018,645.26,215.01,138.56,402.78
Europe,2019,632.54,220.34,154.66,461.59
World,1965,923.2,17.99,0.0,0.0
World,1966,983.82,19.81,0.0,0.0
World,1967,1005.74,19.99,0.0,0.0
World,1968,1059.29,22.12,0.0,0.0
World,1969,1121.74,23.26,0.0,0.0
World,1970,1174.65,25.69,0.0,0.0
World,1971,1227.07,27.88,0.0,0.0
World,1972,1284.63,29.88,0.0,0.0
World,1973,1303.01,32.08,0.0,0.0
World,1974,1431.26,33.96,0.0,0.0
World,1975,1448.89,34.48,0.0,0.0
World,1976,1443.13,38.46,0.0,0.0
World,1977,1491.67,40.56,0.0,0.0
World,1978,1614.39,42.97,0.0,0.0
World,1979,1695.19,46.17,0.0,0.01
World,1980,1731.65,49.39,0.0,0.01
World,1981,1768.9,53.15,0.0,0.01
World,1982,1800.91,61.37,0.0,0.02
World,1983,1877.77,68.02,0.0,0.03
World,1984,1941.38,76.01,0.01,0.04
World,1985,1979.77,77.79,0.01,0.06
World,1986,2006.57,85.58,0.02,0.14
World,1987,2033.71,91.64,0.01,0.2
World,1988,2098.72,94.28,0.01,0.33
World,1989,2087.57,104.35,0.26,2.65
World,1990,2158.91,116.96,0.39,3.63
World,1991,2209.41,121.98,0.51,4.09
World,1992,2209.07,130.94,0.47,4.73
World,1993,2341.24,135.28,0.56,5.7
World,1994,2356.88,140.41,0.6,7.12
World,1995,2485.63,146.36,0.64,8.26
World,1996,2520.5,150.57,0.71,9.2
World,1997,2566.14,161.29,0.76,12.02
World,1998,2586.94,168.76,0.83,15.92
World,1999,2605.68,177.39,0.92,21.22
World,2000,2651.96,186.06,1.12,31.42
World,2001,2583.89,191.88,1.4,38.39
World,2002,2631.85,206.36,1.76,52.33
World,2003,2627.6,217.93,2.26,62.92
World,2004,2820.74,235.28,2.97,85.12
World,2005,2916.35,254.59,4.17,104.09
World,2006,3027.67,271.69,5.72,132.86
World,2007,3079.34,294.78,7.77,170.73
World,2008,3257.39,315.5,12.64,220.65
World,2009,3252.5,339.65,20.97,276.05
World,2010,3435.83,379.88,33.71,346.51
World,2011,3501.07,398.74,65.12,440.62
World,2012,3649.72,430.76,100.81,530.85
World,2013,3814.04,463.99,139.12,635.77
World,2014,3894.18,500.91,197.86,706.47
World,2015,3884.62,538.28,256.84,831.57
World,2016,4012.95,547.87,328.24,963.77
World,2017,4065.87,582.89,446.95,1140.97
World,2018,4171.4,615.04,582.75,1270.16
World,2019,4222.21,651.81,724.09,1429.62
China,1965,22.1,0.0,0.0,0.0
China,1966,22.49,0.0,0.0,0.0
China,1967,19.38,0.0,0.0,0.0
China,1968,22.87,0.0,0.0,0.0
China,1969,23.26,0.0,0.0,0.0
China,1970,24.04,0.0,0.0,0.0
China,1971,29.08,0.0,0.0,0.0
China,1972,32.95,0.0,0.0,0.0
China,1973,36.83,0.0,0.0,0.0
China,1974,41.67,0.0,0.0,0.0
China,1975,43.61,0.0,0.0,0.0
China,1976,44.19,0.0,0.0,0.0
China,1977,46.13,0.0,0.0,0.0
China,1978,43.23,0.0,0.0,0.0
China,1979,48.56,0.0,0.0,0.0
China,1980,58.22,0.0,0.0,0.0
China,1981,65.51,0.0,0.0,0.0
China,1982,74.41,0.0,0.0,0.0
China,1983,86.42,0.0,0.0,0.0
China,1984,86.81,0.0,0.0,0.0
China,1985,92.39,0.0,0.0,0.0
China,1986,94.55,0.0,0.0,0.0
China,1987,100.02,0.0,0.0,0.0
China,1988,109.17,0.0,0.0,0.0
China,1989,118.41,0.0,0.0,0.0
China,1990,126.74,0.06,0.0,0.0
China,1991,124.69,0.06,0.0,0.01
China,1992,130.69,0.11,0.0,0.13
China,1993,151.85,0.12,0.0,0.21
China,1994,167.43,0.46,0.0,0.38
China,1995,190.58,3.01,0.01,0.62
China,1996,187.97,1.53,0.01,0.09
China,1997,195.98,2.72,0.01,0.2
China,1998,198.89,2.48,0.01,0.36
China,1999,196.58,2.52,0.02,0.47
China,2000,222.41,2.54,0.02,0.59
China,2001,277.43,2.55,0.03,0.72
China,2002,287.97,2.55,0.05,0.84
China,2003,283.68,2.54,0.06,1.0
China,2004,353.54,2.53,0.08,1.28
China,2005,397.02,5.32,0.08,1.95
China,2006,435.79,7.13,0.1,3.71
China,2007,485.26,9.86,0.11,5.48
China,2008,636.96,14.87,0.15,13.1
China,2009,615.64,20.86,0.28,27.61
China,2010,711.38,24.9,0.7,49.4
China,2011,688.04,27.63,2.61,74.1
China,2012,862.79,30.13,3.59,103.05
China,2013,909.61,37.13,8.37,138.26
China,2014,1059.69,46.27,23.51,159.76
China,2015,1114.52,54.07,39.48,185.59
China,2016,1153.27,62.13,66.53,240.86
China,2017,1165.06,79.6,117.8,304.6
China,2018,1198.89,93.72,176.9,365.8
China,2019,1269.67,102.83,223.8,405.7
Brazil,1965,25.52,0.0,0.0,0.0
Brazil,1966,27.91,0.0,0.0,0.0
Brazil,1967,29.19,0.0,0.0,0.0
Brazil,1968,30.55,0.0,0.0,0.0
Brazil,1969,32.69,0.0,0.0,0.0
Brazil,1970,39.8,0.51,0.0,0.0
Brazil,1971,43.2,0.63,0.0,0.0
Brazil,1972,50.68,0.72,0.0,0.0
Brazil,1973,57.89,0.75,0.0,0.0
Brazil,1974,65.68,0.79,0.0,0.0
Brazil,1975,72.29,0.87,0.0,0.0
Brazil,1976,82.91,0.86,0.0,0.0
Brazil,1977,93.48,1.12,0.0,0.0
Brazil,1978,102.75,1.33,0.0,0.0
Brazil,1979,116.58,1.78,0.0,0.0
Brazil,1980,128.91,1.81,0.0,0.0
Brazil,1981,130.76,1.87,0.0,0.0
Brazil,1982,141.13,2.18,0.0,0.0
Brazil,1983,151.48,2.98,0.0,0.0
Brazil,1984,166.59,2.85,0.0,0.0
Brazil,1985,178.38,3.07,0.0,0.0
Brazil,1986,182.42,3.19,0.0,0.0
Brazil,1987,185.6,3.57,0.0,0.0
Brazil,1988,199.09,3.34,0.0,0.0
Brazil,1989,204.69,3.4,0.0,0.0
Brazil,1990,206.71,3.86,0.0,0.0
Brazil,1991,217.78,4.0,0.0,0.0
Brazil,1992,223.34,4.93,0.0,0.0
Brazil,1993,235.06,4.98,0.0,0.0
Brazil,1994,242.7,5.39,0.0,0.0
Brazil,1995,253.9,5.59,0.0,0.0
Brazil,1996,265.77,6.75,0.0,0.0
Brazil,1997,278.97,7.38,0.0,0.0
Brazil,1998,291.47,7.51,0.0,0.0
Brazil,1999,293.0,8.38,0.0,0.0
Brazil,2000,304.4,7.86,0.0,0.0
Brazil,2001,267.88,8.99,0.0,0.03
Brazil,2002,286.09,10.23,0.0,0.06
Brazil,2003,305.62,11.89,0.0,0.06
Brazil,2004,320.8,12.48,0.0,0.06
Brazil,2005,337.46,13.59,0.0,0.09
Brazil,2006,348.81,14.85,0.0,0.24
Brazil,2007,374.02,18.06,0.0,0.66
Brazil,2008,369.56,19.79,0.0,1.18
Brazil,2009,390.99,22.88,0.0,1.24
Brazil,2010,403.29,31.94,0.0,2.18
Brazil,2011,428.33,32.63,0.0,2.7
Brazil,2012,415.34,35.77,0.0,5.05
Brazil,2013,390.99,40.97,0.0,6.58
Brazil,2014,373.44,47.08,0.02,12.21
Brazil,2015,359.74,49.88,0.06,21.63
Brazil,2016,380.91,51.33,0.09,33.49
Brazil,2017,370.91,52.91,0.83,42.37
Brazil,2018,388.97,54.38,3.46,48.48
Brazil,2019,399.3,56.25,5.56,55.83
